Stock,intials,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14
,,,,,,,,,,,,,,
AAL,CT,13.51,12.99,14.47,14.21,11.86,12.87,12.7,13.2,14.1,14.18,14.32,14.68,
STEL,RV,42.52,41.14,41.82,44.56,44.16,41.63,41.63,40.24,41.76,47.28,49.06,48.95,
AFL,NM,60.67,59.38,61.52,60.24,56.58,59.34,58.63,59.72,61.96,66,67.8,70.58,70.87
AMD,"DD,IT",88.49,80.24,84.64,76.77,66.3,67.94,57.85,57.96,58.7,60.06,63.08,73.53,73.19
AMZN,HW,128.29,127.92,128.88,122.42,113.74,119.89,110.58,116.31,120.7,97.3,91.11,100.42,
AON,DV,282.31,281.42,287.22,275.85,269.43,281.94,275.37,278.33,278.2,285.34,287.79,294.31,304.16
AAPL,"DD,EE,RZ,KY", $ 159.54 , $ 155.52 , $ 156.57 , $ 157.60 ,150.98,146.4,140.5,144.38,149.45,150.13,141.1,152.31,147.81
BA,ATS,165.43,151.82,158.72,144.88,127.48,126.04,131.9,136.09,142.1,,,,
GOOG,EP,110.34,108.68,111.87,103.85,98.81,99.3,98.71,100.78,102.97,94.66,88.65,96.03,
BPT,WT,18.59,16.76,16.24,15.1,10.87,13.11,13.5,12.84,12.09,13.02,14.26,13.61,
Chevron,,,,,,,,,,,,,,
CMG,TS,1640,1614,1709.01,1692.89,1558.37,1515.81,1486,1582.67,1561,1511.51,1392.44,1555,
CRUDE OIL,HMG,91.54,87.87,86.43,83.9,78,88.28,88.88,82.44,84.89,88.09,90.32,86.11,
CVE,"CM, DP",19.01,18.7,18.49,18.3,14.76,17.32,17.12,16.54,19.62,20.56,21.48,21.62,
CVX,HO,159.5,157.41,160.43,155.17,141.11,160.8,164.59,160.77,174.69,183.63,185.52,185.78,
DIS,"JR, TW",114.28,109.7,112,98.12,94.79,100.43,94.45,97.33,101.7,106,101.8,94.28,98.04
LOW,MH,195.51,194.08,198.26,191.3,186.6,200.84,192.76,193.95,194.83,181.69,185.18,212.74,
ETHUSD,OK,1531.9,1665.6,1596.3,1368.6,1357.7,1362.9,1258.4,1310.9,1411.1,1578.2,1542.2,1239.8,1138.2
FUN,CW,42.51,41.57,44.88,44.32,40.08,40.6,39.46,40.08,40.18,41.2,40,40.47,
KO,HV,62.6,61.3,61.4,59.74,56.87,55.55,55.52,56.3,58.32,59,59.5,60.7,
JWN,LL,17.7,17.68,19.79,19.64,18.02,19.35,18.55,19.23,20.07,20.33,19.5,21.67,
LUV,MLJ,37.7,37.09,37.88,35.57,31.86,32.92,31.09,33.38,33.55,36.84,37.48,38.28,
MANU,EC,13.07,13.47,15.16,14.12,12.92,13.7,13.35,13.05,12.35,13.06,13.38,13.2,
META ,"SH,CO",157.43,159.41,156.4,148.13,134.4,140.28,128.54,132.8,135.26,94.42,,,
MSFT,"EE, BC",266.67,256.06,266.65,244.52,237.45,247.93,225.75,237.53,247.25,232.13,227.87,241.55,
NKE,PP,108.97,105.44,107.75,102.42,95.49,88.66,88,89.82,91.54,94.16,95.78,107.99,
NRG ,AVR,41.49,41.47,44.36,44.02,39.39,41.5,39.75,41.91,42.99,44.4,45.21,43.85,
NVDA,"KH, PH",154.68,136.5,138.02,134.67,122.28,125.12,116.7,118.88,132.42,136.2,143.01,163.1,162.1
NVIDIA,CM,154.75,134.65,145.05,133.82,125.07,131.27,115.1,118.05,132.42,136.2,141.76,167.84,
PTON,AS,9.96,8.94,9.76,10.18,8.07,9.56,9.04,,,10.09,9.7,,
PG,ML,141.32,136.23,139.58,137.91,133.24,127.5,,,,,,,
Crude Oil," FA, HM",96.9,87.87,86.47,84.3,78.04,88.28,88.88,82.84,84.92,88.09,90.34,86.02,82.19
SONY,NL,91.48,75.68,72.79,71.43,,,,,,,,,
BBY,NS,75.12,71.98,75.25,73.14,65.54,65.5,63.85,67.29,65.69,68.4,67.3,76.07,86.69
RUN,PAR,33.03,31.41,37.77,35.52,30.42,27.54,22.5,22.16,21.26,,24.15,31.88,
SUN,AA,41.51,39.45,40.44,40.14,37.28,40.33,39.35,40.12,41.38,40.38,40.68,41.01,42.76
TSLA,"EN,KS",284.82,270.21,304.42,309.07,276.01,240.81,217.24,219.35,211.25,227.54,197.08,190.95,194.7
TXN,ML,167.94,163,170.58,166.25,160.46,165.15,153.45,150.99,,,165.69,,
USD,VL,20.49,18.55,18.28,17.65,15.25,16.68,13.1,13.16,15.39,15.61,16.87,20.71,
WMT,VP,132.88,133,138.07,134.33,131.31,131.17,130.88,131.37,139.47,,,,
MO,,45.12,44.57,43.97,42.92,40.79,42.5,44.35,44.77,45.5,,,,
